id;codigo postal;provincia;canton ;distrito;region;sede
343;20101;ALAJUELA;ALAJUELA;ALAJUELA;1;0
344;20102;ALAJUELA;ALAJUELA;SAN JOSE;1;0
346;20103;ALAJUELA;ALAJUELA;CARRIZAL;1;0
347;20104;ALAJUELA;ALAJUELA;SAN ANTONIO;1;0
348;20105;ALAJUELA;ALAJUELA;GUACIMA;1;0
349;20106;ALAJUELA;ALAJUELA;SAN ISIDRO;1;0
350;20107;ALAJUELA;ALAJUELA;SABANILLA;1;0
351;20108;ALAJUELA;ALAJUELA;SAN RAFAEL;1;0
353;20109;ALAJUELA;ALAJUELA;RIO SEGUNDO;1;0
354;20110;ALAJUELA;ALAJUELA;DESAMPARADOS;1;0
355;20111;ALAJUELA;ALAJUELA;TURRUCARES;3;0
356;20112;ALAJUELA;ALAJUELA;TAMBOR;3;0
357;20113;ALAJUELA;ALAJUELA;GARITA;3;0
358;20114;ALAJUELA;ALAJUELA;SARAPIQUI;3;0
274;21101;ALAJUELA;ALFARO RUIZ;ZARCERO;3;0
275;21102;ALAJUELA;ALFARO RUIZ;LAGUNA;3;0
276;21104;ALAJUELA;ALFARO RUIZ;GUADALUPE;3;0
433;21103;ALAJUELA;ALFARO RUIZ;TAPEZCO;3;0
435;21105;ALAJUELA;ALFARO RUIZ;PALMIRA;3;0
436;21106;ALAJUELA;ALFARO RUIZ;ZAPOTE;3;0
437;21107;ALAJUELA;ALFARO RUIZ;BRISAS;3;0
390;20501;ALAJUELA;ATENAS;ATENAS;3;0
392;20502;ALAJUELA;ATENAS;JESUS;3;0
393;20503;ALAJUELA;ATENAS;MERCEDES;3;0
394;20504;ALAJUELA;ATENAS;SAN ISIDRO;3;0
395;20505;ALAJUELA;ATENAS;CONCEPCION;3;0
396;20506;ALAJUELA;ATENAS;SAN JOSE;3;0
397;20507;ALAJUELA;ATENAS;SANTA EULALIA;3;0
398;20508;ALAJUELA;ATENAS;ESCOBAL;3;0
375;20301;ALAJUELA;GRECIA;GRECIA;3;0
379;20302;ALAJUELA;GRECIA;SAN ISIDRO;3;0
380;20303;ALAJUELA;GRECIA;SAN JOSE;3;0
381;20304;ALAJUELA;GRECIA;SAN ROQUE;3;0
383;20305;ALAJUELA;GRECIA;TACARES;3;0
384;20306;ALAJUELA;GRECIA;PUENTE DE PIEDRA;3;0
385;20307;ALAJUELA;GRECIA;BOLIVAR;3;0
249;21504;ALAJUELA;GUATUSO;KATIRA;3;0
250;21502;ALAJUELA;GUATUSO;BUENAVISTA;3;0
251;21501;ALAJUELA;GUATUSO;SAN RAFAEL;3;0
443;21503;ALAJUELA;GUATUSO;COTE;3;0
246;21402;ALAJUELA;LOS CHILES;CAÑO NEGRO;3;0
259;21403;ALAJUELA;LOS CHILES;EL AMPARO;3;0
260;21404;ALAJUELA;LOS CHILES;SAN JORGE;3;0
261;21401;ALAJUELA;LOS CHILES;LOS CHILES;3;0
273;20601;ALAJUELA;NARANJO;NARANJO;3;0
281;20607;ALAJUELA;NARANJO;ROSARIO;3;0
282;20605;ALAJUELA;NARANJO;SAN JERONIMO;3;0
400;20602;ALAJUELA;NARANJO;SAN MIGUEL;3;0
402;20603;ALAJUELA;NARANJO;SAN JOSE;3;0
403;20604;ALAJUELA;NARANJO;CIRRI;3;0
404;20606;ALAJUELA;NARANJO;SAN JUAN;3;0
407;20608;ALAJUELA;NARANJO;PALMITOS;3;0
422;20901;ALAJUELA;OROTINA;OROTINA;3;0
424;20902;ALAJUELA;OROTINA;MASTATE;3;0
425;20903;ALAJUELA;OROTINA;HACIENDA VIEJA;3;0
426;20904;ALAJUELA;OROTINA;COYOLAR;3;0
427;20904;ALAJUELA;OROTINA;COYOLAR;3;0
428;20905;ALAJUELA;OROTINA;LA CEIBA;3;0
277;20706;ALAJUELA;PALMARES;ESQUIPULAS;3;0
278;20701;ALAJUELA;PALMARES;PALMARES;3;0
279;20702;ALAJUELA;PALMARES;ZARAGOZA;3;0
280;20703;ALAJUELA;PALMARES;BUENOS AIRES;3;0
414;20704;ALAJUELA;PALMARES;SANTIAGO;3;0
415;20705;ALAJUELA;PALMARES;CANDELARIA;3;0
416;20707;ALAJUELA;PALMARES;GRANJA;3;0
417;20801;ALAJUELA;POAS;SAN PEDRO;3;0
418;20802;ALAJUELA;POAS;SAN JUAN;3;0
419;20803;ALAJUELA;POAS;SAN RAFAEL;3;0
420;20804;ALAJUELA;POAS;CARRILLOS;3;0
421;20806;ALAJUELA;POAS;SABANA REDONDA;3;0
492;20306;Alajuela;Río Cuarto;Río Cuarto;3;36
445;21601;ALAJUELA;RIO CUARTO;RIO CUARTO;3;0
255;21011;ALAJUELA;SAN CARLOS;CUTRIS;3;0
256;21013;ALAJUELA;SAN CARLOS;POCOSOL;3;0
257;21010;ALAJUELA;SAN CARLOS;VENADO;3;0
258;21012;ALAJUELA;SAN CARLOS;MONTERREY;3;0
262;21007;ALAJUELA;SAN CARLOS;FORTUNA;3;0
264;21004;ALAJUELA;SAN CARLOS;AGUAS ZARCAS;3;0
265;21006;ALAJUELA;SAN CARLOS;PITAL;3;0
266;21009;ALAJUELA;SAN CARLOS;PALMERA;3;0
267;21001;ALAJUELA;SAN CARLOS;QUESADA;3;0
268;21008;ALAJUELA;SAN CARLOS;TIGRA;3;0
269;21002;ALAJUELA;SAN CARLOS;FLORENCIA;3;0
271;21005;ALAJUELA;SAN CARLOS;VENECIA;3;0
431;21003;ALAJUELA;SAN CARLOS;BUENAVISTA;3;0
386;20401;ALAJUELA;SAN MATEO;SAN MATEO;3;0
387;20402;ALAJUELA;SAN MATEO;DESMONTE;3;0
388;20403;ALAJUELA;SAN MATEO;JESUS MARIA;3;0
389;20404;ALAJUELA;SAN MATEO;LABRADOR;3;0
263;20213;ALAJUELA;SAN RAMON;PEÑAS BLANCAS;3;0
272;20208;ALAJUELA;SAN RAMON;ANGELES;3;0
286;20202;ALAJUELA;SAN RAMON;SANTIAGO;3;0
287;20212;ALAJUELA;SAN RAMON;ZAPOTAL;3;0
288;20205;ALAJUELA;SAN RAMON;PIEDADES SUR;3;0
289;20209;ALAJUELA;SAN RAMON;ALFARO;3;0
361;20201;ALAJUELA;SAN RAMON;SAN RAMON;3;0
362;20203;ALAJUELA;SAN RAMON;SAN JUAN;3;0
364;20204;ALAJUELA;SAN RAMON;PIEDADES NORTE;3;0
365;20206;ALAJUELA;SAN RAMON;SAN RAFAEL;3;0
366;20207;ALAJUELA;SAN RAMON;SAN ISIDRO;3;0
368;20210;ALAJUELA;SAN RAMON;VOLIO;3;0
369;20211;ALAJUELA;SAN RAMON;CONCEPCION;3;0
371;20214;ALAJUELA;SAN RAMON;SAN LORENZO;3;0
244;21301;ALAJUELA;UPALA;UPALA;3;0
245;21307;ALAJUELA;UPALA;YOLILLAL;3;0
247;21306;ALAJUELA;UPALA;DOS RIOS;3;0
248;21303;ALAJUELA;UPALA;SAN JOSE (PIZOTE);3;0
252;21304;ALAJUELA;UPALA;BIJAGUA;3;0
253;21302;ALAJUELA;UPALA;AGUAS CLARAS;3;0
254;21305;ALAJUELA;UPALA;DELICIAS;3;0
441;21308;ALAJUELA;UPALA;CANALETE;3;0
283;21205;ALAJUELA;VALVERDE VEGA;RODRIGUEZ;3;0
284;21203;ALAJUELA;VALVERDE VEGA;TORO AMARILLO;3;0
285;21201;ALAJUELA;VALVERDE VEGA;SARCHI NORTE;3;0
438;21202;ALAJUELA;VALVERDE VEGA;SARCHI SUR;3;0
440;21204;ALAJUELA;VALVERDE VEGA;SAN PEDRO;3;0
229;30602;CARTAGO;ALVARADO;CERVANTES;1;0
233;30601;CARTAGO;ALVARADO;PACAYAS;1;0
456;30603;CARTAGO;ALVARADO;CAPELLADES;2;0
220;30107;CARTAGO;CARTAGO;CORRALILLO;2;0
221;30111;CARTAGO;CARTAGO;QUEBRADILLA;1;0
222;30105;CARTAGO;CARTAGO;AGUA CALIENTE (SAN FRANCISCO);1;0
231;30108;CARTAGO;CARTAGO;TIERRA BLANCA;1;0
238;30109;CARTAGO;CARTAGO;DULCE NOMBRE;2;0
239;30104;CARTAGO;CARTAGO;SAN NICOLAS;1;0
240;30106;CARTAGO;CARTAGO;GUADALUPE (ARENILLA);1;0
241;30102;CARTAGO;CARTAGO;OCCIDENTAL;1;0
242;30101;CARTAGO;CARTAGO;ORIENTAL;1;0
243;30103;CARTAGO;CARTAGO;CARMEN;1;0
448;30110;CARTAGO;CARTAGO;LLANO GRANDE;1;0
235;30803;CARTAGO;EL GUARCO;TOBOSI;1;0
236;30801;CARTAGO;EL GUARCO;TEJAR;1;0
237;30802;CARTAGO;EL GUARCO;SAN ISIDRO;2;0
459;30804;CARTAGO;EL GUARCO;PATIO DE AGUA;1;0
190;30403;CARTAGO;JIMENEZ;PEJIBAYE;2;0
191;30402;CARTAGO;JIMENEZ;TUCURRIQUE;2;0
192;30401;CARTAGO;JIMENEZ;JUAN VIÑAS;2;0
195;30301;CARTAGO;LA UNION;TRES RIOS;1;0
198;30303;CARTAGO;LA UNION;SAN JUAN;1;0
199;30305;CARTAGO;LA UNION;CONCEPCION;1;0
223;30302;CARTAGO;LA UNION;SAN DIEGO;1;0
224;30304;CARTAGO;LA UNION;SAN RAFAEL;1;0
225;30307;CARTAGO;LA UNION;SAN RAMON;1;0
449;30306;CARTAGO;LA UNION;DULCE NOMBRE;1;0
450;30308;CARTAGO;LA UNION;RIO AZUL;1;0
230;30701;CARTAGO;OREAMUNO;SAN RAFAEL;1;0
232;30705;CARTAGO;OREAMUNO;SANTA ROSA;2;0
234;30702;CARTAGO;OREAMUNO;COT;1;0
457;30703;CARTAGO;OREAMUNO;POTRERO CERRADO;1;0
458;30704;CARTAGO;OREAMUNO;CIPRESES;1;0
218;30204;CARTAGO;PARAISO;CACHI;1;0
219;30203;CARTAGO;PARAISO;OROSI;2;0
226;30202;CARTAGO;PARAISO;SANTIADO DE PARAISO;1;0
227;30205;CARTAGO;PARAISO;LLANOS DE SANTA LUCIA;2;0
228;30201;CARTAGO;PARAISO;PARAISO;1;0
183;30512;CARTAGO;TURRIALBA;CHIRRIPO;2;0
184;30507;CARTAGO;TURRIALBA;TUIS;2;0
185;30504;CARTAGO;TURRIALBA;SANTA CRUZ;2;0
186;30505;CARTAGO;TURRIALBA;SANTA TERESITA;2;0
187;30502;CARTAGO;TURRIALBA;LA SUIZA;2;0
188;30510;CARTAGO;TURRIALBA;TRES EQUIS;2;0
189;30501;CARTAGO;TURRIALBA;TURRIALBA;2;0
451;30503;CARTAGO;TURRIALBA;PERALTA;2;0
452;30506;CARTAGO;TURRIALBA;PAVONES;2;0
453;30508;CARTAGO;TURRIALBA;TAYUTIC;2;0
454;30509;CARTAGO;TURRIALBA;SANTA ROSA;2;0
455;30511;CARTAGO;TURRIALBA;LA ISABEL;2;0
108;50702;GUANACASTE;ABANGARES;SIERRA;5;0
109;50704;GUANACASTE;ABANGARES;COLORADO;5;0
113;50701;GUANACASTE;ABANGARES;JUNTAS;5;0
302;50703;GUANACASTE;ABANGARES;SAN JUAN;5;0
143;50401;GUANACASTE;BAGACES;BAGACES;5;0
144;50402;GUANACASTE;BAGACES;FORTUNA;5;0
145;50403;GUANACASTE;BAGACES;MOGOTE;5;0
298;50404;GUANACASTE;BAGACES;RIO NARANJO;5;0
114;50601;GUANACASTE;CAÑAS;CAÑAS;5;0
115;50602;GUANACASTE;CAÑAS;PALMIRA;5;0
116;50604;GUANACASTE;CAÑAS;BEBEDERO;5;0
300;50603;GUANACASTE;CAÑAS;SAN MIGUEL;5;0
301;50605;GUANACASTE;CAÑAS;POROZAL;5;0
119;50503;GUANACASTE;CARRILLO;SARDINAL;5;0
120;50501;GUANACASTE;CARRILLO;FILADELFIA;5;0
121;50504;GUANACASTE;CARRILLO;BELEN;5;0
299;50502;GUANACASTE;CARRILLO;PALMIRA;5;0
134;51101;GUANACASTE;HOJANCHA;HOJANCHA;5;0
308;51102;GUANACASTE;HOJANCHA;MONTE ROMO;5;0
309;51103;GUANACASTE;HOJANCHA;PUERTO CARRILLO;5;0
